Coaches Poll,,,
Rank,School,Points,1st Place Votes
1,UCI,119,1
2,BYU,112,1
3,Cal Poly Pomona,95,0
4,Liberty,92,1
5,DSU,92,0
6,UCF,89,2
7,UT Austin,78,0
8,CALBerkeley,61,0
9,CSUN,57,0
10,INTECH,56,0
11,Rutgers,55,0
12,RIT,53,0
13,SDSU,51,0
14,UMBC,51,0
15,UVA,47,0
16,Saddleback,46,1
17,Coastline,44,0
18,Arizona,43,0
19,LATECH,39,0
20,CSUF,38,0
21,UVU,38,0
22,UC Davis,34,0
23,Texas A&M,31,0
24,USF,31,0
25,Baldwin Wallace,26,0
