Rank,Team,Points,1st Place Votes
1,BYU,102,0
2,UCI,100,4
3,UVA,96,0
4,DSU,92,0
5,UCF,88,0
6,Texas A&M,79,0
7,INTECH,66,0
8,Cal Poly Pomona,64,0
9,CALBerkeley,62,0
10,Liberty,62,0
11,Coastline,56,0
12,UW Bothell,54,0
13,Rutgers,53,0
14,SDSU,53,0
15,CSUN,45,0
16,UMBC,45,0
17,FL Atlantic,37,0
18,RIT,36,0
19,UC Davis,35,0
20,Baldwin Wallace,27,0
21,UVU,23,0
22,LATECH,19,0
23,Northeastern,16,0
24,Florida,13,0
25,CSUF,12,0
