Rank,Team,Points,1st Place Votes
1,Liberty,115,1
2,UCF,98,2
3,BYU,95,1
4,UCI,91,0
5,Stanford,80,0
6,DSU,74,0
7,Cal Poly Pomona,57,0
8,UVU,52,1
9,SDSU,50,0
10,UT Austin,50,0
11,RIT,49,0
12,LATECH,47,0
13,Rutgers,46,0
14,CALBerkeley,42,0
15,CSUN,40,0
16,TN Tech,40,0
17,Florida,37,0
18,Northeastern,36,0
19,UMBC,36,0
20,UVA,35,0
21,San Bernardino,32,0
22,INTECH,31,0
23,UC Riverside,31,0
24,UCSC,29,0
25,Southern Utah,26,0
